"","treat","age","educ","race","married","nodegree","re74","re75","re78","black","hispan"
"NSW1",1,37,11,"black",1,1,0,0,9930.046,1,0
"NSW2",1,22,9,"hispan",0,1,0,0,3595.894,0,1
"NSW3",1,30,12,"black",0,0,0,0,24909.45,1,0
"NSW4",1,27,11,"black",0,1,0,0,7506.146,1,0
"NSW5",1,33,8,"black",0,1,0,0,289.7899,1,0
"NSW6",1,22,9,"black",0,1,0,0,4056.494,1,0
"NSW7",1,23,12,"black",0,0,0,0,0,1,0
"NSW8",1,32,11,"black",0,1,0,0,8472.158,1,0
"NSW9",1,22,16,"black",0,0,0,0,2164.022,1,0
"NSW10",1,33,12,"white",1,0,0,0,12418.07,0,0
"NSW11",1,19,9,"black",0,1,0,0,8173.908,1,0
"NSW12",1,21,13,"black",0,0,0,0,17094.64,1,0
"NSW13",1,18,8,"black",0,1,0,0,0,1,0
"NSW14",1,27,10,"black",1,1,0,0,18739.93,1,0
"NSW15",1,17,7,"black",0,1,0,0,3023.879,1,0
"NSW16",1,19,10,"black",0,1,0,0,3228.503,1,0
"NSW17",1,27,13,"black",0,0,0,0,14581.86,1,0
"NSW18",1,23,10,"black",0,1,0,0,7693.4,1,0
"NSW19",1,40,12,"black",0,0,0,0,10804.32,1,0
"NSW20",1,26,12,"black",0,0,0,0,10747.35,1,0
"NSW21",1,23,11,"black",0,1,0,0,0,1,0
"NSW22",1,41,14,"white",0,0,0,0,5149.501,0,0
"NSW23",1,38,9,"white",0,1,0,0,6408.95,0,0
"NSW24",1,24,11,"black",0,1,0,0,1991.4,1,0
"NSW25",1,18,10,"black",0,1,0,0,11163.17,1,0
"NSW26",1,29,11,"black",1,1,0,0,9642.999,1,0
"NSW27",1,25,11,"black",0,1,0,0,9897.049,1,0
"NSW28",1,27,10,"hispan",0,1,0,0,11142.87,0,1
"NSW29",1,17,10,"black",0,1,0,0,16218.04,1,0
"NSW30",1,24,11,"black",0,1,0,0,995.7002,1,0
"NSW31",1,17,10,"black",0,1,0,0,0,1,0
"NSW32",1,48,4,"black",0,1,0,0,6551.592,1,0
"NSW33",1,25,11,"black",1,1,0,0,1574.424,1,0
"NSW34",1,20,12,"black",0,0,0,0,0,1,0
"NSW35",1,25,12,"black",0,0,0,0,3191.753,1,0
"NSW36",1,42,14,"black",0,0,0,0,20505.93,1,0
"NSW37",1,25,5,"black",0,1,0,0,6181.88,1,0
"NSW38",1,23,12,"black",1,0,0,0,5911.551,1,0
"NSW39",1,46,8,"black",1,1,0,0,3094.156,1,0
"NSW40",1,24,10,"black",0,1,0,0,0,1,0
"NSW41",1,21,12,"black",0,0,0,0,1254.582,1,0
"NSW42",1,19,9,"white",0,1,0,0,13188.83,0,0
"NSW43",1,17,8,"black",0,1,0,0,8061.485,1,0
"NSW44",1,18,8,"hispan",1,1,0,0,2787.96,0,1
"NSW45",1,20,11,"black",0,1,0,0,3972.54,1,0
"NSW46",1,25,11,"black",1,1,0,0,0,1,0
"NSW47",1,17,8,"black",0,1,0,0,0,1,0
